,Basketball,CC/Track,Other,School,Sport Category
US N-R,0,0,0,University of Delaware,Women
Two or More,0,6,22,University of Delaware,Women
Unknown,0,0,7,University of Delaware,Women
White,0,19,158,University of Delaware,Women
Total,0,33,206,University of Delaware,Women
Am. Ind./AN,0,0,0,University of Denver,Women
Asian,0,0,3,University of Denver,Women
Black,4,0,3,University of Denver,Women
Hispanic,1,0,6,University of Denver,Women
Nat. Haw./PI,0,0,1,University of Denver,Women
US N-R,2,0,30,University of Denver,Women
Two or More,2,0,11,University of Denver,Women
Unknown,0,0,4,University of Denver,Women
White,5,0,93,University of Denver,Women
Total,14,0,151,University of Denver,Women
Am. Ind./AN,0,0,0,University of Detroit Mercy,Women
Asian,0,0,4,University of Detroit Mercy,Women
Black,5,10,2,University of Detroit Mercy,Women
Hispanic,1,1,14,University of Detroit Mercy,Women
Nat. Haw./PI,0,0,0,University of Detroit Mercy,Women
US N-R,5,2,8,University of Detroit Mercy,Women
Two or More,0,1,2,University of Detroit Mercy,Women
Unknown,1,0,3,University of Detroit Mercy,Women
White,1,14,59,University of Detroit Mercy,Women
Total,13,28,92,University of Detroit Mercy,Women
Am. Ind./AN,0,0,0,University of Evansville,Women
Asian,0,0,0,University of Evansville,Women
Black,2,0,2,University of Evansville,Women
Hispanic,0,0,0,University of Evansville,Women
Nat. Haw./PI,0,0,1,University of Evansville,Women
US N-R,6,5,16,University of Evansville,Women
Two or More,3,0,3,University of Evansville,Women
Unknown,0,0,1,University of Evansville,Women
White,2,6,36,University of Evansville,Women
Total,13,11,59,University of Evansville,Women
Am. Ind./AN,0,0,0,University of Florida,Women
Asian,0,0,5,University of Florida,Women
Black,8,19,10,University of Florida,Women
Hispanic,0,2,6,University of Florida,Women
Nat. Haw./PI,0,0,1,University of Florida,Women
US N-R,0,0,0,University of Florida,Women
Two or More,1,1,18,University of Florida,Women
Unknown,0,1,9,University of Florida,Women
White,4,14,133,University of Florida,Women
Total,13,37,182,University of Florida,Women
Am. Ind./AN,0,0,0,University of Georgia,Women
Asian,0,0,2,University of Georgia,Women
Black,10,11,14,University of Georgia,Women
Hispanic,0,0,3,University of Georgia,Women
Nat. Haw./PI,0,0,1,University of Georgia,Women
US N-R,0,7,15,University of Georgia,Women
Two or More,2,2,10,University of Georgia,Women
Unknown,0,0,0,University of Georgia,Women
White,0,6,124,University of Georgia,Women
Total,12,26,169,University of Georgia,Women
Am. Ind./AN,0,0,0,University of Hartford,Women
Asian,0,0,0,University of Hartford,Women
Black,3,0,0,University of Hartford,Women
Hispanic,1,0,3,University of Hartford,Women
Nat. Haw./PI,0,0,0,University of Hartford,Women
US N-R,0,1,5,University of Hartford,Women
Two or More,1,0,1,University of Hartford,Women
Unknown,0,0,0,University of Hartford,Women
White,1,1,9,University of Hartford,Women
Total,6,2,18,University of Hartford,Women
Am. Ind./AN,0,0,0,University of Hawaii Manoa,Women
Asian,0,2,12,University of Hawaii Manoa,Women
Black,3,2,5,University of Hawaii Manoa,Women
Hispanic,0,1,3,University of Hawaii Manoa,Women
Nat. Haw./PI,3,2,0,University of Hawaii Manoa,Women
US N-R,1,9,45,University of Hawaii Manoa,Women
Two or More,5,5,8,University of Hawaii Manoa,Women
Unknown,0,0,4,University of Hawaii Manoa,Women
White,3,13,34,University of Hawaii Manoa,Women
Total,15,34,111,University of Hawaii Manoa,Women
Am. Ind./AN,0,0,0,University of Houston,Women
Asian,0,0,4,University of Houston,Women
Black,14,20,17,University of Houston,Women
Hispanic,0,1,7,University of Houston,Women
Nat. Haw./PI,0,0,0,University of Houston,Women
US N-R,0,0,19,University of Houston,Women
Two or More,1,4,16,University of Houston,Women
Unknown,0,2,4,University of Houston,Women
White,0,4,57,University of Houston,Women
Total,15,31,124,University of Houston,Women
Am. Ind./AN,0,0,0,University of Idaho,Women
Asian,0,0,4,University of Idaho,Women
Black,1,2,0,University of Idaho,Women
Hispanic,0,3,7,University of Idaho,Women
Nat. Haw./PI,0,0,0,University of Idaho,Women
US N-R,5,16,24,University of Idaho,Women
Two or More,2,0,8,University of Idaho,Women
Unknown,0,0,1,University of Idaho,Women
White,6,13,60,University of Idaho,Women
Total,14,34,104,University of Idaho,Women
Am. Ind./AN,0,0,0,University of Illinois Chicago,Women
Asian,0,1,2,University of Illinois Chicago,Women
Black,8,7,3,University of Illinois Chicago,Women
Hispanic,1,4,18,University of Illinois Chicago,Women
Nat. Haw./PI,0,0,0,University of Illinois Chicago,Women
US N-R,0,0,18,University of Illinois Chicago,Women
Two or More,3,2,5,University of Illinois Chicago,Women
Unknown,0,0,0,University of Illinois Chicago,Women
White,3,7,54,University of Illinois Chicago,Women
Total,15,21,100,University of Illinois Chicago,Women
Am. Ind./AN,0,0,0,University of Illinois Urbana-Champaign,Women
Asian,0,0,7,University of Illinois Urbana-Champaign,Women
Black,6,8,3,University of Illinois Urbana-Champaign,Women
Hispanic,0,1,8,University of Illinois Urbana-Champaign,Women
Nat. Haw./PI,0,0,0,University of Illinois Urbana-Champaign,Women
US N-R,1,6,8,University of Illinois Urbana-Champaign,Women
Two or More,1,1,5,University of Illinois Urbana-Champaign,Women
Unknown,0,0,2,University of Illinois Urbana-Champaign,Women
White,3,11,74,University of Illinois Urbana-Champaign,Women
Total,11,27,107,University of Illinois Urbana-Champaign,Women
Am. Ind./AN,0,0,1,University of Iowa,Women
Asian,0,0,4,University of Iowa,Women
Black,2,13,4,University of Iowa,Women
Hispanic,0,1,16,University of Iowa,Women
Nat. Haw./PI,0,0,0,University of Iowa,Women
US N-R,0,4,28,University of Iowa,Women
Two or More,2,6,8,University of Iowa,Women
Unknown,2,1,7,University of Iowa,Women
White,8,27,127,University of Iowa,Women
Total,14,52,195,University of Iowa,Women
Am. Ind./AN,0,0,1,University of Kansas,Women
Asian,0,0,2,University of Kansas,Women
Black,6,6,9,University of Kansas,Women
Hispanic,0,0,9,University of Kansas,Women
Nat. Haw./PI,0,0,0,University of Kansas,Women
US N-R,3,10,25,University of Kansas,Women
Two or More,3,2,7,University of Kansas,Women
Unknown,1,0,2,University of Kansas,Women
White,1,17,117,University of Kansas,Women
Total,14,35,172,University of Kansas,Women
Am. Ind./AN,0,0,0,University of Kentucky,Women
Asian,0,0,1,University of Kentucky,Women
Black,7,15,9,University of Kentucky,Women
Hispanic,1,0,5,University of Kentucky,Women
Nat. Haw./PI,0,0,0,University of Kentucky,Women
US N-R,0,2,9,University of Kentucky,Women
Two or More,1,1,4,University of Kentucky,Women
Unknown,0,0,0,University of Kentucky,Women
White,3,12,105,University of Kentucky,Women
Total,12,30,133,University of Kentucky,Women
Am. Ind./AN,0,0,0,University of Louisiana Monroe,Women
Asian,0,0,0,University of Louisiana Monroe,Women
Black,9,3,6,University of Louisiana Monroe,Women
Hispanic,0,3,6,University of Louisiana Monroe,Women
Nat. Haw./PI,0,0,0,University of Louisiana Monroe,Women
US N-R,1,7,26,University of Louisiana Monroe,Women
Two or More,1,0,2,University of Louisiana Monroe,Women
Unknown,1,1,4,University of Louisiana Monroe,Women
White,0,5,45,University of Louisiana Monroe,Women
Total,12,19,89,University of Louisiana Monroe,Women
Am. Ind./AN,0,0,0,University of Louisiana at Lafayette,Women
Asian,0,0,2,University of Louisiana at Lafayette,Women
Black,15,28,15,University of Louisiana at Lafayette,Women
Hispanic,0,1,5,University of Louisiana at Lafayette,Women
Nat. Haw./PI,0,0,1,University of Louisiana at Lafayette,Women
US N-R,0,1,0,University of Louisiana at Lafayette,Women
Two or More,0,3,6,University of Louisiana at Lafayette,Women
Unknown,0,1,0,University of Louisiana at Lafayette,Women
White,0,20,45,University of Louisiana at Lafayette,Women
Total,15,54,74,University of Louisiana at Lafayette,Women
Am. Ind./AN,0,0,0,University of Louisville,Women
Asian,0,0,3,University of Louisville,Women
Black,5,9,11,University of Louisville,Women
Hispanic,0,1,7,University of Louisville,Women
Nat. Haw./PI,0,0,0,University of Louisville,Women
US N-R,3,1,16,University of Louisville,Women
Two or More,0,3,5,University of Louisville,Women
Unknown,0,0,0,University of Louisville,Women
White,1,17,127,University of Louisville,Women
Total,9,31,169,University of Louisville,Women
Am. Ind./AN,0,0,0,University of Maine,Women
Asian,0,0,3,University of Maine,Women
Black,0,0,1,University of Maine,Women
Hispanic,0,0,1,University of Maine,Women
Nat. Haw./PI,0,0,0,University of Maine,Women
US N-R,0,0,0,University of Maine,Women
Two or More,2,2,7,University of Maine,Women
Unknown,1,0,0,University of Maine,Women
White,10,19,82,University of Maine,Women
Total,13,21,94,University of Maine,Women
Am. Ind./AN,0,0,0,University of Maryland Baltimore County,Women
Asian,0,1,3,University of Maryland Baltimore County,Women
Black,5,11,5,University of Maryland Baltimore County,Women
Hispanic,4,2,7,University of Maryland Baltimore County,Women
Nat. Haw./PI,0,0,0,University of Maryland Baltimore County,Women
US N-R,0,0,13,University of Maryland Baltimore County,Women
Two or More,1,0,10,University of Maryland Baltimore County,Women
Unknown,0,0,0,University of Maryland Baltimore County,Women
White,3,5,77,University of Maryland Baltimore County,Women
Total,13,19,115,University of Maryland Baltimore County,Women
Am. Ind./AN,0,0,0,University of Maryland College Park,Women
Asian,0,0,3,University of Maryland College Park,Women
Black,5,7,11,University of Maryland College Park,Women
Hispanic,1,5,8,University of Maryland College Park,Women
Nat. Haw./PI,0,0,0,University of Maryland College Park,Women
US N-R,3,4,20,University of Maryland College Park,Women
Two or More,1,3,14,University of Maryland College Park,Women
Unknown,1,1,6,University of Maryland College Park,Women
White,3,12,93,University of Maryland College Park,Women
Total,14,32,155,University of Maryland College Park,Women
Am. Ind./AN,0,0,4,University of Maryland Eastern Shore,Women
Asian,0,0,3,University of Maryland Eastern Shore,Women
Black,13,13,14,University of Maryland Eastern Shore,Women
Hispanic,0,0,5,University of Maryland Eastern Shore,Women
Nat. Haw./PI,0,0,0,University of Maryland Eastern Shore,Women
US N-R,0,0,0,University of Maryland Eastern Shore,Women
Two or More,0,0,0,University of Maryland Eastern Shore,Women
Unknown,0,4,2,University of Maryland Eastern Shore,Women
White,0,0,10,University of Maryland Eastern Shore,Women
Total,13,17,38,University of Maryland Eastern Shore,Women
Am. Ind./AN,0,0,0,University of Massachusetts Amherst,Women
Asian,0,0,2,University of Massachusetts Amherst,Women
Black,5,5,2,University of Massachusetts Amherst,Women
Hispanic,1,3,14,University of Massachusetts Amherst,Women
Nat. Haw./PI,1,0,0,University of Massachusetts Amherst,Women
US N-R,0,2,36,University of Massachusetts Amherst,Women
Two or More,1,2,5,University of Massachusetts Amherst,Women
Unknown,0,0,2,University of Massachusetts Amherst,Women
White,4,22,93,University of Massachusetts Amherst,Women
Total,12,34,154,University of Massachusetts Amherst,Women
Am. Ind./AN,0,0,0,University of Massachusetts Lowell,Women
Asian,0,1,2,University of Massachusetts Lowell,Women
Black,5,5,1,University of Massachusetts Lowell,Women
Hispanic,2,5,1,University of Massachusetts Lowell,Women
Nat. Haw./PI,0,0,0,University of Massachusetts Lowell,Women
US N-R,4,1,16,University of Massachusetts Lowell,Women
Two or More,0,0,4,University of Massachusetts Lowell,Women
Unknown,0,1,0,University of Massachusetts Lowell,Women
White,3,24,72,University of Massachusetts Lowell,Women
Total,14,37,96,University of Massachusetts Lowell,Women
Am. Ind./AN,0,0,0,University of Memphis,Women
Asian,0,0,0,University of Memphis,Women
Black,8,6,11,University of Memphis,Women
Hispanic,0,2,5,University of Memphis,Women
Nat. Haw./PI,0,0,0,University of Memphis,Women
US N-R,1,6,24,University of Memphis,Women
Two or More,1,0,5,University of Memphis,Women
Unknown,0,0,1,University of Memphis,Women
White,1,8,36,University of Memphis,Women
Total,11,22,82,University of Memphis,Women
Am. Ind./AN,0,0,0,University of Miami (Florida),Women
Asian,0,0,1,University of Miami (Florida),Women
Black,4,4,3,University of Miami (Florida),Women
Hispanic,0,1,13,University of Miami (Florida),Women
Nat. Haw./PI,0,2,0,University of Miami (Florida),Women
US N-R,7,4,27,University of Miami (Florida),Women
Two or More,0,4,6,University of Miami (Florida),Women
Unknown,0,1,4,University of Miami (Florida),Women
White,1,1,38,University of Miami (Florida),Women
Total,12,17,92,University of Miami (Florida),Women
Am. Ind./AN,0,0,0,University of Michigan,Women
Asian,0,1,5,University of Michigan,Women
Black,1,8,10,University of Michigan,Women
Hispanic,0,1,10,University of Michigan,Women
Nat. Haw./PI,0,0,0,University of Michigan,Women
US N-R,1,1,32,University of Michigan,Women
Two or More,3,1,12,University of Michigan,Women
Unknown,0,0,4,University of Michigan,Women
White,5,17,131,University of Michigan,Women
Total,10,29,204,University of Michigan,Women
Am. Ind./AN,0,0,0,University of Minnesota Twin Cities,Women
Asian,0,0,1,University of Minnesota Twin Cities,Women
Black,3,9,7,University of Minnesota Twin Cities,Women
Hispanic,0,0,9,University of Minnesota Twin Cities,Women
Nat. Haw./PI,0,0,0,University of Minnesota Twin Cities,Women
US N-R,2,5,29,University of Minnesota Twin Cities,Women
Two or More,2,1,6,University of Minnesota Twin Cities,Women
Unknown,0,2,6,University of Minnesota Twin Cities,Women
White,8,19,111,University of Minnesota Twin Cities,Women
Total,15,36,169,University of Minnesota Twin Cities,Women
Am. Ind./AN,0,0,3,University of Mississippi,Women
Asian,0,0,3,University of Mississippi,Women
Black,14,15,6,University of Mississippi,Women
Hispanic,0,1,6,University of Mississippi,Women
Nat. Haw./PI,0,0,2,University of Mississippi,Women
US N-R,0,0,0,University of Mississippi,Women
Two or More,0,2,5,University of Mississippi,Women
Unknown,0,0,0,University of Mississippi,Women
White,1,17,65,University of Mississippi,Women
Total,15,35,90,University of Mississippi,Women
Am. Ind./AN,0,1,2,University of Missouri-Kansas City,Women
Asian,0,1,0,University of Missouri-Kansas City,Women
Black,9,9,5,University of Missouri-Kansas City,Women
Hispanic,1,2,5,University of Missouri-Kansas City,Women
Nat. Haw./PI,0,0,1,University of Missouri-Kansas City,Women
US N-R,1,2,10,University of Missouri-Kansas City,Women
Two or More,3,2,8,University of Missouri-Kansas City,Women
Unknown,0,0,1,University of Missouri-Kansas City,Women
White,1,21,40,University of Missouri-Kansas City,Women
Total,15,38,72,University of Missouri-Kansas City,Women
Am. Ind./AN,0,0,0,University of Missouri Columbia,Women
Asian,0,0,3,University of Missouri Columbia,Women
Black,4,2,13,University of Missouri Columbia,Women
Hispanic,0,0,4,University of Missouri Columbia,Women
Nat. Haw./PI,0,0,0,University of Missouri Columbia,Women
US N-R,3,11,11,University of Missouri Columbia,Women
Two or More,0,1,5,University of Missouri Columbia,Women
Unknown,0,0,1,University of Missouri Columbia,Women
White,7,12,73,University of Missouri Columbia,Women
Total,14,26,110,University of Missouri Columbia,Women
Am. Ind./AN,0,0,0,University of Montana,Women
Asian,1,0,1,University of Montana,Women
Black,0,0,1,University of Montana,Women
Hispanic,0,1,4,University of Montana,Women
Nat. Haw./PI,0,0,1,University of Montana,Women
US N-R,2,2,9,University of Montana,Women
Two or More,3,3,10,University of Montana,Women
Unknown,0,1,3,University of Montana,Women
White,9,28,50,University of Montana,Women
Total,15,35,79,University of Montana,Women
Am. Ind./AN,0,0,0,University of Nebraska-Lincoln,Women
Asian,0,0,2,University of Nebraska-Lincoln,Women
Black,1,8,5,University of Nebraska-Lincoln,Women
Hispanic,0,1,9,University of Nebraska-Lincoln,Women
Nat. Haw./PI,0,0,0,University of Nebraska-Lincoln,Women
US N-R,2,15,31,University of Nebraska-Lincoln,Women
Two or More,2,1,9,University of Nebraska-Lincoln,Women
Unknown,0,0,0,University of Nebraska-Lincoln,Women
White,10,18,82,University of Nebraska-Lincoln,Women
Total,15,43,138,University of Nebraska-Lincoln,Women
Am. Ind./AN,0,0,0,University of Nebraska at Omaha,Women
Asian,0,0,0,University of Nebraska at Omaha,Women
Black,4,1,2,University of Nebraska at Omaha,Women
Hispanic,0,3,6,University of Nebraska at Omaha,Women
Nat. Haw./PI,0,0,1,University of Nebraska at Omaha,Women
US N-R,2,2,8,University of Nebraska at Omaha,Women
Two or More,0,5,4,University of Nebraska at Omaha,Women
Unknown,1,0,3,University of Nebraska at Omaha,Women
White,4,24,78,University of Nebraska at Omaha,Women
Total,11,35,102,University of Nebraska at Omaha,Women
Am. Ind./AN,0,1,0,University of Nevada Las Vegas,Women
Asian,0,2,5,University of Nevada Las Vegas,Women
Black,9,12,7,University of Nevada Las Vegas,Women
Hispanic,0,1,8,University of Nevada Las Vegas,Women
Nat. Haw./PI,0,0,2,University of Nevada Las Vegas,Women
US N-R,0,9,21,University of Nevada Las Vegas,Women
Two or More,1,4,17,University of Nevada Las Vegas,Women
Unknown,0,0,0,University of Nevada Las Vegas,Women
White,4,3,39,University of Nevada Las Vegas,Women
Total,14,32,99,University of Nevada Las Vegas,Women
Am. Ind./AN,0,0,0,University of Nevada Reno,Women
Asian,1,0,5,University of Nevada Reno,Women
Black,6,2,1,University of Nevada Reno,Women
Hispanic,0,5,13,University of Nevada Reno,Women
Nat. Haw./PI,1,0,2,University of Nevada Reno,Women
US N-R,1,12,28,University of Nevada Reno,Women
Two or More,3,2,18,University of Nevada Reno,Women
Unknown,0,0,1,University of Nevada Reno,Women
White,4,17,53,University of Nevada Reno,Women
Total,16,38,121,University of Nevada Reno,Women
Am. Ind./AN,0,0,0,University of New Hampshire,Women
Asian,0,0,1,University of New Hampshire,Women
Black,1,1,1,University of New Hampshire,Women
Hispanic,0,1,1,University of New Hampshire,Women
Nat. Haw./PI,0,0,0,University of New Hampshire,Women
US N-R,5,0,22,University of New Hampshire,Women
Two or More,2,0,7,University of New Hampshire,Women
Unknown,1,1,2,University of New Hampshire,Women
White,5,20,106,University of New Hampshire,Women
Total,14,23,140,University of New Hampshire,Women
Am. Ind./AN,2,0,1,University of New Mexico,Women
Asian,0,0,1,University of New Mexico,Women
Black,1,1,5,University of New Mexico,Women
Hispanic,1,5,24,University of New Mexico,Women
Nat. Haw./PI,0,0,0,University of New Mexico,Women
US N-R,5,16,22,University of New Mexico,Women
Two or More,1,3,13,University of New Mexico,Women
Unknown,0,2,1,University of New Mexico,Women
White,4,10,49,University of New Mexico,Women
Total,14,37,116,University of New Mexico,Women
Am. Ind./AN,0,0,0,University of New Orleans,Women
Asian,0,0,0,University of New Orleans,Women
Black,11,5,5,University of New Orleans,Women
Hispanic,0,1,0,University of New Orleans,Women
Nat. Haw./PI,0,0,0,University of New Orleans,Women
US N-R,1,9,9,University of New Orleans,Women
Two or More,3,1,2,University of New Orleans,Women
Unknown,0,0,1,University of New Orleans,Women
White,0,5,11,University of New Orleans,Women
Total,15,21,28,University of New Orleans,Women
Am. Ind./AN,0,0,0,University of North Alabama,Women
Asian,0,0,0,University of North Alabama,Women
Black,2,0,4,University of North Alabama,Women
Hispanic,0,1,1,University of North Alabama,Women
Nat. Haw./PI,0,0,0,University of North Alabama,Women
US N-R,1,1,17,University of North Alabama,Women
Two or More,1,0,1,University of North Alabama,Women
Unknown,0,0,0,University of North Alabama,Women
White,9,11,54,University of North Alabama,Women
Total,13,13,77,University of North Alabama,Women
Am. Ind./AN,0,0,0,University of North Carolina Asheville,Women
Asian,0,0,1,University of North Carolina Asheville,Women
Black,9,4,1,University of North Carolina Asheville,Women
Hispanic,0,0,8,University of North Carolina Asheville,Women
Nat. Haw./PI,0,0,0,University of North Carolina Asheville,Women
US N-R,0,2,16,University of North Carolina Asheville,Women
Two or More,0,4,5,University of North Carolina Asheville,Women
Unknown,0,1,0,University of North Carolina Asheville,Women
White,4,13,47,University of North Carolina Asheville,Women
Total,13,24,78,University of North Carolina Asheville,Women
Am. Ind./AN,0,0,0,University of North Carolina Chapel Hill,Women
Asian,0,0,8,University of North Carolina Chapel Hill,Women
Black,6,6,11,University of North Carolina Chapel Hill,Women
Hispanic,0,0,4,University of North Carolina Chapel Hill,Women
Nat. Haw./PI,0,0,0,University of North Carolina Chapel Hill,Women
US N-R,0,0,0,University of North Carolina Chapel Hill,Women
Two or More,4,7,17,University of North Carolina Chapel Hill,Women
Unknown,1,1,1,University of North Carolina Chapel Hill,Women
White,2,20,146,University of North Carolina Chapel Hill,Women
Total,13,34,187,University of North Carolina Chapel Hill,Women
Am. Ind./AN,1,0,0,University of North Carolina Wilmington,Women
Asian,0,0,0,University of North Carolina Wilmington,Women
Black,4,3,3,University of North Carolina Wilmington,Women
Hispanic,0,0,6,University of North Carolina Wilmington,Women
Nat. Haw./PI,0,0,0,University of North Carolina Wilmington,Women
US N-R,1,0,12,University of North Carolina Wilmington,Women
Two or More,1,1,7,University of North Carolina Wilmington,Women
Unknown,0,0,2,University of North Carolina Wilmington,Women
White,4,7,77,University of North Carolina Wilmington,Women
Total,11,11,107,University of North Carolina Wilmington,Women
Am. Ind./AN,0,2,1,University of North Dakota,Women
Asian,0,0,9,University of North Dakota,Women
Black,10,2,4,University of North Dakota,Women
Hispanic,0,0,9,University of North Dakota,Women
Nat. Haw./PI,0,1,1,University of North Dakota,Women
US N-R,0,0,0,University of North Dakota,Women
Two or More,0,0,0,University of North Dakota,Women
Unknown,0,1,1,University of North Dakota,Women
White,5,13,48,University of North Dakota,Women
Total,15,19,73,University of North Dakota,Women
Am. Ind./AN,0,0,0,University of North Florida,Women
Asian,0,0,4,University of North Florida,Women
Black,3,0,0,University of North Florida,Women
Hispanic,1,0,8,University of North Florida,Women
Nat. Haw./PI,0,0,0,University of North Florida,Women
US N-R,2,5,8,University of North Florida,Women
Two or More,1,2,4,University of North Florida,Women
Unknown,0,1,1,University of North Florida,Women
White,2,6,70,University of North Florida,Women
Total,9,14,95,University of North Florida,Women
Am. Ind./AN,0,0,0,University of North Texas,Women
Asian,0,0,0,University of North Texas,Women
Black,4,14,2,University of North Texas,Women
Hispanic,0,2,2,University of North Texas,Women
Nat. Haw./PI,0,0,0,University of North Texas,Women
US N-R,1,3,2,University of North Texas,Women
Two or More,0,0,2,University of North Texas,Women
Unknown,0,0,0,University of North Texas,Women
White,1,4,11,University of North Texas,Women
Total,6,23,19,University of North Texas,Women
Am. Ind./AN,0,0,0,University of Northern Colorado,Women
Asian,0,0,2,University of Northern Colorado,Women
Black,0,1,5,University of Northern Colorado,Women
Hispanic,2,1,16,University of Northern Colorado,Women
Nat. Haw./PI,0,0,0,University of Northern Colorado,Women
US N-R,2,8,14,University of Northern Colorado,Women
Two or More,6,2,5,University of Northern Colorado,Women
Unknown,0,0,0,University of Northern Colorado,Women
White,2,8,49,University of Northern Colorado,Women
Total,12,20,91,University of Northern Colorado,Women
Am. Ind./AN,0,0,0,University of Northern Iowa,Women
Asian,0,0,0,University of Northern Iowa,Women
Black,0,1,0,University of Northern Iowa,Women
Hispanic,1,0,0,University of Northern Iowa,Women
Nat. Haw./PI,0,0,0,University of Northern Iowa,Women
US N-R,0,0,0,University of Northern Iowa,Women
Two or More,3,2,5,University of Northern Iowa,Women
Unknown,0,1,9,University of Northern Iowa,Women
White,9,22,66,University of Northern Iowa,Women
Total,13,26,80,University of Northern Iowa,Women
Am. Ind./AN,0,0,1,University of Notre Dame,Women
Asian,0,0,8,University of Notre Dame,Women
Black,2,0,5,University of Notre Dame,Women
Hispanic,1,2,9,University of Notre Dame,Women
Nat. Haw./PI,0,0,0,University of Notre Dame,Women
US N-R,1,2,4,University of Notre Dame,Women
Two or More,3,1,8,University of Notre Dame,Women
Unknown,0,1,7,University of Notre Dame,Women
White,3,19,143,University of Notre Dame,Women
Total,10,25,185,University of Notre Dame,Women
Am. Ind./AN,0,1,5,University of Oklahoma,Women
Asian,0,0,7,University of Oklahoma,Women
Black,6,16,22,University of Oklahoma,Women
Hispanic,0,16,22,University of Oklahoma,Women
Nat. Haw./PI,0,0,2,University of Oklahoma,Women
US N-R,0,7,26,University of Oklahoma,Women
Two or More,4,10,19,University of Oklahoma,Women
Unknown,1,1,1,University of Oklahoma,Women
White,4,19,145,University of Oklahoma,Women
Total,15,70,249,University of Oklahoma,Women
Am. Ind./AN,0,0,1,University of Oregon,Women
Asian,0,0,6,University of Oregon,Women
Black,1,5,9,University of Oregon,Women
Hispanic,0,4,16,University of Oregon,Women
Nat. Haw./PI,1,0,1,University of Oregon,Women
US N-R,2,3,13,University of Oregon,Women
Two or More,3,6,13,University of Oregon,Women
Unknown,0,1,1,University of Oregon,Women
White,4,10,78,University of Oregon,Women
Total,11,29,138,University of Oregon,Women
Am. Ind./AN,0,0,0,University of Pennsylvania,Women
Asian,0,0,0,University of Pennsylvania,Women
Black,0,0,0,University of Pennsylvania,Women
Hispanic,0,0,0,University of Pennsylvania,Women
Nat. Haw./PI,0,0,0,University of Pennsylvania,Women
US N-R,0,0,0,University of Pennsylvania,Women
Two or More,0,0,0,University of Pennsylvania,Women
Unknown,0,0,0,University of Pennsylvania,Women
White,0,0,0,University of Pennsylvania,Women
Total,0,0,0,University of Pennsylvania,Women
Am. Ind./AN,0,0,0,University of Pittsburgh,Women
Asian,0,0,3,University of Pittsburgh,Women
Black,4,8,11,University of Pittsburgh,Women
Hispanic,0,0,10,University of Pittsburgh,Women
Nat. Haw./PI,0,0,1,University of Pittsburgh,Women
US N-R,2,7,20,University of Pittsburgh,Women
Two or More,2,2,9,University of Pittsburgh,Women
Unknown,0,0,0,University of Pittsburgh,Women
White,3,14,73,University of Pittsburgh,Women
Total,11,31,127,University of Pittsburgh,Women
Am. Ind./AN,0,0,0,University of Portland,Women
Asian,0,1,4,University of Portland,Women
Black,0,1,3,University of Portland,Women
Hispanic,0,3,8,University of Portland,Women
Nat. Haw./PI,0,0,0,University of Portland,Women
US N-R,0,0,2,University of Portland,Women
Two or More,2,0,16,University of Portland,Women
Unknown,0,0,1,University of Portland,Women
White,12,6,42,University of Portland,Women
Total,14,11,76,University of Portland,Women
Am. Ind./AN,0,0,0,University of Rhode Island,Women
Asian,0,0,4,University of Rhode Island,Women
Black,5,1,4,University of Rhode Island,Women
Hispanic,1,2,12,University of Rhode Island,Women
Nat. Haw./PI,0,0,0,University of Rhode Island,Women
US N-R,0,0,0,University of Rhode Island,Women
Two or More,0,1,8,University of Rhode Island,Women
Unknown,3,0,4,University of Rhode Island,Women
White,3,23,103,University of Rhode Island,Women
Total,12,27,135,University of Rhode Island,Women
Am. Ind./AN,0,0,0,University of Richmond,Women
Asian,0,0,0,University of Richmond,Women
Black,0,6,2,University of Richmond,Women
Hispanic,1,0,1,University of Richmond,Women
Nat. Haw./PI,0,0,0,University of Richmond,Women
US N-R,1,1,11,University of Richmond,Women
Two or More,1,2,3,University of Richmond,Women
Unknown,0,1,0,University of Richmond,Women
White,9,14,86,University of Richmond,Women
Total,12,24,103,University of Richmond,Women
Am. Ind./AN,0,0,0,University of San Diego,Women
Asian,0,0,1,University of San Diego,Women
Black,1,0,6,University of San Diego,Women
Hispanic,0,1,13,University of San Diego,Women
Nat. Haw./PI,2,0,0,University of San Diego,Women
US N-R,2,0,9,University of San Diego,Women
Two or More,0,0,10,University of San Diego,Women
Unknown,0,1,2,University of San Diego,Women
White,7,3,64,University of San Diego,Women
Total,12,5,105,University of San Diego,Women
Am. Ind./AN,0,0,0,University of San Francisco,Women
Asian,0,2,10,University of San Francisco,Women
Black,0,2,2,University of San Francisco,Women
Hispanic,0,0,9,University of San Francisco,Women
Nat. Haw./PI,0,0,1,University of San Francisco,Women
US N-R,10,6,4,University of San Francisco,Women
Two or More,1,2,9,University of San Francisco,Women
Unknown,0,1,0,University of San Francisco,Women
White,2,13,48,University of San Francisco,Women
Total,13,26,83,University of San Francisco,Women
Am. Ind./AN,0,2,0,University of South Alabama,Women
Asian,0,0,1,University of South Alabama,Women
Black,11,4,3,University of South Alabama,Women
Hispanic,0,1,4,University of South Alabama,Women
Nat. Haw./PI,0,0,0,University of South Alabama,Women
US N-R,0,8,18,University of South Alabama,Women
Two or More,4,0,3,University of South Alabama,Women
Unknown,0,0,0,University of South Alabama,Women
White,0,16,31,University of South Alabama,Women
Total,15,31,60,University of South Alabama,Women
