,Basketball,Baseball,CC/Track,Football,Other,School
Am. Ind./AN,0,0,0,0,0,Marshall University
Asian,0,0,0,0,0,Marshall University
Black,11,0,0,58,3,Marshall University
Hispanic,0,6,0,0,3,Marshall University
Nat. Haw./PI,0,1,0,0,0,Marshall University
N-R Alien,0,0,0,0,0,Marshall University
Two or More,1,1,0,6,1,Marshall University
Unknown,0,0,0,3,3,Marshall University
White,0,19,7,18,29,Marshall University
Total,12,27,7,85,39,Marshall University
Am. Ind./AN,0,1,0,1,0,McNeese State University
Asian,0,0,0,0,0,McNeese State University
Black,13,1,6,40,0,McNeese State University
Hispanic,0,1,3,1,1,McNeese State University
Nat. Haw./PI,0,0,0,0,0,McNeese State University
N-R Alien,0,2,6,0,3,McNeese State University
Two or More,0,0,0,1,0,McNeese State University
Unknown,0,0,0,0,0,McNeese State University
White,0,20,8,30,3,McNeese State University
Total,13,25,23,73,7,McNeese State University
Am. Ind./AN,0,0,0,0,0,Mercer University
Asian,0,0,0,0,2,Mercer University
Black,6,3,2,1,2,Mercer University
Hispanic,0,0,0,0,1,Mercer University
Nat. Haw./PI,0,0,0,0,0,Mercer University
N-R Alien,0,1,1,0,9,Mercer University
Two or More,1,0,0,0,2,Mercer University
Unknown,1,0,0,1,2,Mercer University
White,4,20,5,1,49,Mercer University
Total,12,24,8,3,67,Mercer University
Am. Ind./AN,0,0,0,0,1,Miami University (Ohio)
Asian,0,1,0,0,0,Miami University (Ohio)
Black,4,0,3,40,0,Miami University (Ohio)
Hispanic,0,0,2,0,0,Miami University (Ohio)
Nat. Haw./PI,0,0,0,0,0,Miami University (Ohio)
N-R Alien,2,0,0,1,0,Miami University (Ohio)
Two or More,0,2,2,3,2,Miami University (Ohio)
Unknown,2,1,0,1,1,Miami University (Ohio)
White,1,21,38,35,57,Miami University (Ohio)
Total,9,25,45,80,61,Miami University (Ohio)
Am. Ind./AN,0,0,0,0,0,Michigan State University
Asian,0,0,0,0,1,Michigan State University
Black,5,0,4,41,3,Michigan State University
Hispanic,1,0,0,0,6,Michigan State University
Nat. Haw./PI,0,0,0,0,0,Michigan State University
N-R Alien,0,0,0,2,7,Michigan State University
Two or More,3,0,0,3,3,Michigan State University
Unknown,0,0,1,8,2,Michigan State University
White,4,24,20,30,86,Michigan State University
Total,13,24,25,84,108,Michigan State University
Am. Ind./AN,0,0,0,0,0,Middle Tennessee State University
Asian,0,0,0,0,2,Middle Tennessee State University
Black,12,2,17,73,1,Middle Tennessee State University
Hispanic,0,1,0,1,0,Middle Tennessee State University
Nat. Haw./PI,0,0,0,0,0,Middle Tennessee State University
N-R Alien,0,0,1,0,0,Middle Tennessee State University
Two or More,1,0,1,0,0,Middle Tennessee State University
Unknown,0,0,0,0,0,Middle Tennessee State University
White,0,30,1,24,16,Middle Tennessee State University
Total,13,33,20,98,19,Middle Tennessee State University
Am. Ind./AN,0,0,0,0,0,Mississippi State University
Asian,0,0,0,0,0,Mississippi State University
Black,9,1,15,66,0,Mississippi State University
Hispanic,0,1,2,2,0,Mississippi State University
Nat. Haw./PI,0,0,0,0,0,Mississippi State University
N-R Alien,0,0,0,0,0,Mississippi State University
Two or More,1,0,0,2,0,Mississippi State University
Unknown,1,2,8,3,13,Mississippi State University
White,1,25,15,14,4,Mississippi State University
Total,12,29,40,87,17,Mississippi State University
Am. Ind./AN,0,0,0,0,0,Mississippi Valley State University
Asian,0,0,0,0,0,Mississippi Valley State University
Black,9,2,9,60,5,Mississippi Valley State University
Hispanic,0,2,2,1,1,Mississippi Valley State University
Nat. Haw./PI,0,0,0,0,0,Mississippi Valley State University
N-R Alien,0,0,0,0,0,Mississippi Valley State University
Two or More,0,0,0,0,0,Mississippi Valley State University
Unknown,0,1,0,3,0,Mississippi Valley State University
White,0,11,0,0,2,Mississippi Valley State University
Total,9,16,11,64,8,Mississippi Valley State University
Am. Ind./AN,0,0,0,0,2,Missouri State University
Asian,0,0,0,0,1,Missouri State University
Black,5,2,0,32,1,Missouri State University
Hispanic,0,1,0,1,2,Missouri State University
Nat. Haw./PI,0,0,0,0,0,Missouri State University
N-R Alien,2,1,0,0,18,Missouri State University
Two or More,0,3,0,4,1,Missouri State University
Unknown,0,1,0,1,1,Missouri State University
White,6,21,0,41,25,Missouri State University
Total,13,29,0,79,51,Missouri State University
Am. Ind./AN,0,0,0,0,0,Monmouth University
Asian,0,0,0,1,0,Monmouth University
Black,5,1,8,21,0,Monmouth University
Hispanic,0,0,5,3,3,Monmouth University
Nat. Haw./PI,0,0,0,0,0,Monmouth University
N-R Alien,2,0,0,0,8,Monmouth University
Two or More,1,1,3,4,0,Monmouth University
Unknown,1,0,1,2,1,Monmouth University
White,5,26,25,43,28,Monmouth University
Total,14,28,42,74,40,Monmouth University
Am. Ind./AN,0,0,3,1,0,Montana State University-Bozeman
Asian,0,0,0,3,0,Montana State University-Bozeman
Black,9,0,2,25,0,Montana State University-Bozeman
Hispanic,0,0,3,2,0,Montana State University-Bozeman
Nat. Haw./PI,0,0,0,0,0,Montana State University-Bozeman
N-R Alien,0,0,0,0,8,Montana State University-Bozeman
Two or More,0,0,0,2,1,Montana State University-Bozeman
Unknown,0,0,0,1,0,Montana State University-Bozeman
White,7,0,42,70,16,Montana State University-Bozeman
Total,16,0,50,104,25,Montana State University-Bozeman
Am. Ind./AN,0,0,0,0,1,Morehead State University
Asian,0,0,1,0,1,Morehead State University
Black,8,2,2,26,0,Morehead State University
Hispanic,0,2,1,2,0,Morehead State University
Nat. Haw./PI,0,0,0,0,1,Morehead State University
N-R Alien,3,1,0,0,8,Morehead State University
Two or More,0,0,0,6,1,Morehead State University
Unknown,0,1,0,3,1,Morehead State University
White,2,23,6,52,11,Morehead State University
Total,13,29,10,89,24,Morehead State University
Am. Ind./AN,0,0,0,0,0,Morgan State University
Asian,0,0,0,0,1,Morgan State University
Black,12,0,15,71,1,Morgan State University
Hispanic,0,0,0,1,0,Morgan State University
Nat. Haw./PI,0,0,0,0,0,Morgan State University
N-R Alien,0,0,1,2,4,Morgan State University
Two or More,0,0,0,0,0,Morgan State University
