Race,Men  Basketball,Men  Baseball,Men  CC/Track,Men  Football,Men  Other,School,Sport Category
Two or More,0,2,0,0,1,Pepperdine University,Men
Unknown,0,0,0,0,1,Pepperdine University,Men
White,2,20,14,0,26,Pepperdine University,Men
Total,13,23,14,0,32,Pepperdine University,Men
Am. Ind./AN,0,0,0,0,0,Portland State University,Men
Asian,0,0,0,1,0,Portland State University,Men
Black,10,0,3,26,0,Portland State University,Men
Hispanic,0,0,0,14,0,Portland State University,Men
Nat. Haw./PI,0,0,0,9,0,Portland State University,Men
US N-R,0,0,0,2,7,Portland State University,Men
Two or More,0,0,0,16,0,Portland State University,Men
Unknown,0,0,0,1,0,Portland State University,Men
White,1,0,1,19,1,Portland State University,Men
Total,11,0,4,88,8,Portland State University,Men
Am. Ind./AN,0,0,0,0,0,Prairie View A&M University,Men
Asian,0,0,0,0,0,Prairie View A&M University,Men
Black,9,9,14,67,6,Prairie View A&M University,Men
Hispanic,0,6,1,8,1,Prairie View A&M University,Men
Nat. Haw./PI,0,0,0,0,0,Prairie View A&M University,Men
US N-R,0,0,1,1,4,Prairie View A&M University,Men
Two or More,0,1,0,4,3,Prairie View A&M University,Men
Unknown,0,1,0,2,0,Prairie View A&M University,Men
White,1,6,0,2,1,Prairie View A&M University,Men
Total,10,23,16,84,15,Prairie View A&M University,Men
Am. Ind./AN,0,0,0,0,0,Presbyterian College,Men
Asian,0,0,0,0,0,Presbyterian College,Men
Black,8,3,1,0,3,Presbyterian College,Men
Hispanic,0,2,0,0,5,Presbyterian College,Men
Nat. Haw./PI,0,0,0,0,0,Presbyterian College,Men
US N-R,0,1,1,0,18,Presbyterian College,Men
Two or More,2,1,0,0,1,Presbyterian College,Men
Unknown,0,0,0,0,0,Presbyterian College,Men
White,1,19,3,0,17,Presbyterian College,Men
Total,11,26,5,0,44,Presbyterian College,Men
Am. Ind./AN,0,0,0,0,0,Princeton University,Men
Asian,0,0,0,0,0,Princeton University,Men
Black,0,0,0,0,0,Princeton University,Men
Hispanic,0,0,0,0,0,Princeton University,Men
Nat. Haw./PI,0,0,0,0,0,Princeton University,Men
US N-R,0,0,0,0,0,Princeton University,Men
Two or More,0,0,0,0,0,Princeton University,Men
Unknown,0,0,0,0,0,Princeton University,Men
White,0,0,0,0,0,Princeton University,Men
Total,0,0,0,0,0,Princeton University,Men
Am. Ind./AN,0,0,0,0,0,Providence College,Men
Asian,0,0,0,0,0,Providence College,Men
Black,9,0,0,0,1,Providence College,Men
Hispanic,0,0,0,0,2,Providence College,Men
Nat. Haw./PI,0,0,0,0,0,Providence College,Men
US N-R,1,0,7,0,16,Providence College,Men
Two or More,4,0,1,0,4,Providence College,Men
Unknown,0,0,0,0,5,Providence College,Men
White,0,0,4,0,63,Providence College,Men
Total,14,0,12,0,91,Providence College,Men
Am. Ind./AN,0,0,0,0,0,Purdue University,Men
Asian,0,0,0,0,2,Purdue University,Men
Black,1,2,6,38,1,Purdue University,Men
Hispanic,0,0,1,3,5,Purdue University,Men
Nat. Haw./PI,0,0,0,0,1,Purdue University,Men
US N-R,2,3,3,2,14,Purdue University,Men
Two or More,1,3,1,5,4,Purdue University,Men
Unknown,0,2,1,3,3,Purdue University,Men
White,7,16,11,23,44,Purdue University,Men
Total,11,26,23,74,74,Purdue University,Men
Am. Ind./AN,0,0,0,0,0,Purdue University Fort Wayne,Men
Asian,0,0,0,0,0,Purdue University Fort Wayne,Men
Black,8,0,7,0,2,Purdue University Fort Wayne,Men
Hispanic,0,0,3,0,10,Purdue University Fort Wayne,Men
Nat. Haw./PI,0,0,0,0,1,Purdue University Fort Wayne,Men
US N-R,1,0,2,0,8,Purdue University Fort Wayne,Men
Two or More,1,3,2,0,2,Purdue University Fort Wayne,Men
Unknown,0,0,0,0,0,Purdue University Fort Wayne,Men
White,3,23,17,0,22,Purdue University Fort Wayne,Men
Total,13,26,31,0,45,Purdue University Fort Wayne,Men
Am. Ind./AN,0,0,0,0,0,Quinnipiac University,Men
Asian,0,0,1,0,2,Quinnipiac University,Men
Black,3,1,0,0,4,Quinnipiac University,Men
Hispanic,0,0,0,0,0,Quinnipiac University,Men
Nat. Haw./PI,0,1,0,0,0,Quinnipiac University,Men
US N-R,0,0,0,0,15,Quinnipiac University,Men
Two or More,0,0,0,0,0,Quinnipiac University,Men
Unknown,0,0,0,0,9,Quinnipiac University,Men
White,0,24,5,0,59,Quinnipiac University,Men
Total,3,26,6,0,89,Quinnipiac University,Men
Am. Ind./AN,0,0,0,0,0,Radford University,Men
Asian,0,0,1,0,0,Radford University,Men
Black,11,1,0,0,3,Radford University,Men
Hispanic,0,2,1,0,5,Radford University,Men
Nat. Haw./PI,0,0,0,0,0,Radford University,Men
US N-R,1,0,1,0,8,Radford University,Men
Two or More,0,2,0,0,1,Radford University,Men
Unknown,0,0,0,0,1,Radford University,Men
White,1,21,6,0,16,Radford University,Men
Total,13,26,9,0,34,Radford University,Men
Am. Ind./AN,0,0,0,0,0,Rice University,Men
Asian,0,0,1,0,2,Rice University,Men
Black,4,0,1,31,1,Rice University,Men
Hispanic,0,5,0,5,0,Rice University,Men
Nat. Haw./PI,0,0,0,2,0,Rice University,Men
US N-R,2,0,8,0,9,Rice University,Men
Two or More,2,1,1,5,1,Rice University,Men
Unknown,0,1,0,0,0,Rice University,Men
White,2,15,12,25,2,Rice University,Men
Total,10,22,23,68,15,Rice University,Men
Am. Ind./AN,0,0,0,0,0,Rider University,Men
Asian,0,0,1,0,1,Rider University,Men
Black,11,0,6,0,5,Rider University,Men
Hispanic,1,0,5,0,4,Rider University,Men
Nat. Haw./PI,0,0,0,0,0,Rider University,Men
US N-R,1,0,0,0,16,Rider University,Men
Two or More,0,0,4,0,7,Rider University,Men
Unknown,0,0,0,0,0,Rider University,Men
White,0,27,6,0,42,Rider University,Men
Total,13,27,22,0,75,Rider University,Men
Am. Ind./AN,0,0,0,0,0,Robert Morris University,Men
Asian,0,0,0,0,0,Robert Morris University,Men
Black,6,0,0,46,3,Robert Morris University,Men
Hispanic,0,0,0,4,0,Robert Morris University,Men
Nat. Haw./PI,0,0,0,1,0,Robert Morris University,Men
US N-R,2,0,0,3,41,Robert Morris University,Men
Two or More,1,0,0,13,1,Robert Morris University,Men
Unknown,0,0,0,0,0,Robert Morris University,Men
White,3,0,11,20,46,Robert Morris University,Men
Total,12,0,11,87,91,Robert Morris University,Men
Am. Ind./AN,0,0,0,0,0,Rutgers The State University of New Jersey New Brunswick,Men
Asian,0,0,0,0,0,Rutgers The State University of New Jersey New Brunswick,Men
Black,7,2,15,66,2,Rutgers The State University of New Jersey New Brunswick,Men
Hispanic,0,3,3,6,10,Rutgers The State University of New Jersey New Brunswick,Men
Nat. Haw./PI,0,0,0,0,0,Rutgers The State University of New Jersey New Brunswick,Men
US N-R,4,2,1,7,7,Rutgers The State University of New Jersey New Brunswick,Men
Two or More,1,1,2,6,5,Rutgers The State University of New Jersey New Brunswick,Men
Unknown,0,0,0,3,2,Rutgers The State University of New Jersey New Brunswick,Men
White,1,17,14,21,69,Rutgers The State University of New Jersey New Brunswick,Men
Total,13,25,35,109,95,Rutgers The State University of New Jersey New Brunswick,Men
Am. Ind./AN,0,1,0,0,0,Sacred Heart University,Men
Asian,0,0,0,0,3,Sacred Heart University,Men
Black,6,1,2,33,2,Sacred Heart University,Men
Hispanic,2,1,4,4,9,Sacred Heart University,Men
Nat. Haw./PI,0,0,0,1,0,Sacred Heart University,Men
US N-R,0,0,0,0,26,Sacred Heart University,Men
Two or More,0,2,0,3,2,Sacred Heart University,Men
Unknown,0,0,1,1,1,Sacred Heart University,Men
White,1,20,17,27,73,Sacred Heart University,Men
Total,9,25,24,69,116,Sacred Heart University,Men
Am. Ind./AN,0,0,0,0,0,Saint Francis University,Men
Asian,0,0,1,2,2,Saint Francis University,Men
Black,9,0,8,44,5,Saint Francis University,Men
Hispanic,0,0,0,3,5,Saint Francis University,Men
Nat. Haw./PI,0,0,0,1,0,Saint Francis University,Men
US N-R,0,0,0,0,0,Saint Francis University,Men
Two or More,2,0,2,13,1,Saint Francis University,Men
Unknown,0,0,0,1,6,Saint Francis University,Men
White,9,0,32,67,64,Saint Francis University,Men
Total,20,0,43,131,83,Saint Francis University,Men
Am. Ind./AN,0,0,0,0,0,Saint Joseph's University,Men
Asian,0,0,0,0,1,Saint Joseph's University,Men
Black,7,0,5,0,3,Saint Joseph's University,Men
Hispanic,0,1,0,0,4,Saint Joseph's University,Men
Nat. Haw./PI,0,0,0,0,0,Saint Joseph's University,Men
US N-R,2,0,2,0,17,Saint Joseph's University,Men
Two or More,0,1,4,0,2,Saint Joseph's University,Men
Unknown,1,0,0,0,0,Saint Joseph's University,Men
White,2,22,23,0,47,Saint Joseph's University,Men
Total,12,24,34,0,74,Saint Joseph's University,Men
Am. Ind./AN,0,0,0,0,0,Saint Louis University,Men
Asian,1,0,0,0,4,Saint Louis University,Men
Black,8,0,5,0,3,Saint Louis University,Men
Hispanic,0,0,0,0,3,Saint Louis University,Men
Nat. Haw./PI,0,1,0,0,1,Saint Louis University,Men
US N-R,1,0,0,0,1,Saint Louis University,Men
Two or More,0,0,0,0,2,Saint Louis University,Men
Unknown,0,1,0,0,1,Saint Louis University,Men
White,3,30,12,0,45,Saint Louis University,Men
Total,13,32,17,0,60,Saint Louis University,Men
Am. Ind./AN,0,0,0,0,0,Saint Mary's College of California,Men
Asian,0,3,0,0,1,Saint Mary's College of California,Men
Black,1,0,0,0,0,Saint Mary's College of California,Men
Hispanic,0,8,8,0,2,Saint Mary's College of California,Men
Nat. Haw./PI,0,0,0,0,0,Saint Mary's College of California,Men
US N-R,5,0,1,0,17,Saint Mary's College of California,Men
Two or More,4,3,3,0,4,Saint Mary's College of California,Men
Unknown,0,0,0,0,2,Saint Mary's College of California,Men
White,3,17,10,0,13,Saint Mary's College of California,Men
Total,13,31,22,0,39,Saint Mary's College of California,Men
Am. Ind./AN,0,0,0,0,0,Saint Peter's University,Men
Asian,0,2,0,0,2,Saint Peter's University,Men
Black,10,0,9,0,0,Saint Peter's University,Men
Hispanic,5,1,5,0,0,Saint Peter's University,Men
Nat. Haw./PI,0,0,0,0,0,Saint Peter's University,Men
US N-R,2,1,1,0,22,Saint Peter's University,Men
Two or More,0,0,0,0,0,Saint Peter's University,Men
Unknown,1,1,0,0,1,Saint Peter's University,Men
White,0,18,1,0,5,Saint Peter's University,Men
Total,18,23,16,0,30,Saint Peter's University,Men
Am. Ind./AN,0,0,0,0,0,Sam Houston State University,Men
Asian,0,0,0,0,1,Sam Houston State University,Men
Black,8,1,9,69,0,Sam Houston State University,Men
Hispanic,0,2,5,3,0,Sam Houston State University,Men
Nat. Haw./PI,0,0,0,1,0,Sam Houston State University,Men
US N-R,4,0,3,0,5,Sam Houston State University,Men
Two or More,1,1,3,6,0,Sam Houston State University,Men
Unknown,0,0,0,0,0,Sam Houston State University,Men
White,0,25,14,19,3,Sam Houston State University,Men
Total,13,29,34,98,9,Sam Houston State University,Men
Am. Ind./AN,0,0,0,0,0,Samford University,Men
Asian,0,0,0,0,0,Samford University,Men
Black,3,0,4,36,0,Samford University,Men
Hispanic,0,3,0,2,4,Samford University,Men
Nat. Haw./PI,0,0,0,0,0,Samford University,Men
US N-R,2,0,0,1,5,Samford University,Men
Two or More,0,0,0,1,0,Samford University,Men
Unknown,0,0,0,0,0,Samford University,Men
White,5,28,17,23,6,Samford University,Men
Total,10,31,21,63,15,Samford University,Men
Am. Ind./AN,0,1,0,0,0,San Diego State University,Men
Asian,0,1,0,1,3,San Diego State University,Men
Black,10,1,0,59,3,San Diego State University,Men
Hispanic,0,6,0,1,6,San Diego State University,Men
Nat. Haw./PI,0,3,0,11,0,San Diego State University,Men
US N-R,0,0,0,1,12,San Diego State University,Men
Two or More,1,0,0,14,3,San Diego State University,Men
Unknown,0,0,0,0,0,San Diego State University,Men
White,2,16,0,23,13,San Diego State University,Men
Total,13,28,0,110,40,San Diego State University,Men
Am. Ind./AN,0,0,0,1,0,San Jose State University,Men
Asian,1,0,1,0,6,San Jose State University,Men
Black,5,4,11,27,2,San Jose State University,Men
Hispanic,1,5,4,5,12,San Jose State University,Men
Nat. Haw./PI,1,1,0,20,0,San Jose State University,Men
US N-R,2,0,0,0,7,San Jose State University,Men
Two or More,0,4,8,19,3,San Jose State University,Men
Unknown,0,0,1,0,0,San Jose State University,Men
White,3,14,4,13,20,San Jose State University,Men
Total,13,28,29,85,50,San Jose State University,Men
Am. Ind./AN,0,0,0,0,0,Santa Clara University,Men
Asian,0,0,3,0,2,Santa Clara University,Men
Black,4,3,0,0,4,Santa Clara University,Men
Hispanic,1,5,1,0,2,Santa Clara University,Men
Nat. Haw./PI,0,0,0,0,0,Santa Clara University,Men
US N-R,3,0,1,0,15,Santa Clara University,Men
Two or More,3,4,1,0,1,Santa Clara University,Men
Unknown,0,0,0,0,1,Santa Clara University,Men
White,2,12,13,0,20,Santa Clara University,Men
Total,13,24,19,0,45,Santa Clara University,Men
Am. Ind./AN,0,0,0,0,0,Seattle University,Men
Asian,0,0,0,0,4,Seattle University,Men
Black,3,0,0,0,2,Seattle University,Men
Hispanic,0,0,1,0,8,Seattle University,Men
Nat. Haw./PI,0,0,0,0,0,Seattle University,Men
US N-R,3,0,0,0,8,Seattle University,Men
Two or More,2,7,11,0,14,Seattle University,Men
Unknown,0,2,0,0,0,Seattle University,Men
White,5,20,4,0,13,Seattle University,Men
Total,13,29,16,0,49,Seattle University,Men
Am. Ind./AN,0,0,0,0,0,Seton Hall University,Men
Asian,0,0,0,0,3,Seton Hall University,Men
Black,10,0,1,0,1,Seton Hall University,Men
Hispanic,0,0,0,0,1,Seton Hall University,Men
Nat. Haw./PI,0,0,0,0,0,Seton Hall University,Men
US N-R,2,0,0,0,23,Seton Hall University,Men
Two or More,0,2,0,0,2,Seton Hall University,Men
Unknown,0,1,0,0,1,Seton Hall University,Men
White,0,20,9,0,18,Seton Hall University,Men
Total,12,23,10,0,49,Seton Hall University,Men
Am. Ind./AN,0,0,0,0,1,Siena College,Men
Asian,0,0,0,0,0,Siena College,Men
Black,6,1,0,0,0,Siena College,Men
Hispanic,0,0,0,0,0,Siena College,Men
Nat. Haw./PI,0,0,0,0,0,Siena College,Men
US N-R,4,0,0,0,20,Siena College,Men
Two or More,2,0,0,0,3,Siena College,Men
Unknown,0,0,0,0,0,Siena College,Men
White,1,22,19,0,44,Siena College,Men
Total,13,23,19,0,68,Siena College,Men
Am. Ind./AN,0,0,0,0,0,South Carolina State University,Men
Asian,0,0,0,0,0,South Carolina State University,Men
Black,12,0,23,85,0,South Carolina State University,Men
Hispanic,0,0,0,0,0,South Carolina State University,Men
Nat. Haw./PI,0,0,0,0,0,South Carolina State University,Men
US N-R,0,0,0,0,0,South Carolina State University,Men
Two or More,0,0,0,6,0,South Carolina State University,Men
Unknown,0,0,0,0,1,South Carolina State University,Men
White,0,0,0,1,5,South Carolina State University,Men
Total,12,0,23,92,6,South Carolina State University,Men
Am. Ind./AN,0,0,0,1,0,South Dakota State University,Men
Asian,0,0,0,0,1,South Dakota State University,Men
Black,2,0,2,18,1,South Dakota State University,Men
Hispanic,1,0,0,0,1,South Dakota State University,Men
Nat. Haw./PI,0,0,0,0,0,South Dakota State University,Men
US N-R,0,0,0,0,0,South Dakota State University,Men
Two or More,2,0,0,15,3,South Dakota State University,Men
Unknown,0,0,0,0,0,South Dakota State University,Men
White,8,30,35,56,47,South Dakota State University,Men
Total,13,30,37,90,53,South Dakota State University,Men
Am. Ind./AN,0,0,0,0,0,Southeast Missouri State University,Men
Asian,0,0,0,3,0,Southeast Missouri State University,Men
Black,6,0,7,45,3,Southeast Missouri State University,Men
Hispanic,0,1,0,1,0,Southeast Missouri State University,Men
Nat. Haw./PI,0,1,0,0,0,Southeast Missouri State University,Men
US N-R,2,1,1,0,1,Southeast Missouri State University,Men
Two or More,2,0,1,4,0,Southeast Missouri State University,Men
Unknown,1,0,2,6,0,Southeast Missouri State University,Men
White,2,24,24,25,0,Southeast Missouri State University,Men
Total,13,27,35,84,4,Southeast Missouri State University,Men
Am. Ind./AN,0,0,0,0,0,Southeastern Louisiana University,Men
Asian,0,0,1,0,0,Southeastern Louisiana University,Men
Black,7,0,7,53,0,Southeastern Louisiana University,Men
Hispanic,0,1,1,0,0,Southeastern Louisiana University,Men
Nat. Haw./PI,0,0,0,1,0,Southeastern Louisiana University,Men
US N-R,2,1,14,4,0,Southeastern Louisiana University,Men
Two or More,0,1,2,10,0,Southeastern Louisiana University,Men
Unknown,0,0,0,0,0,Southeastern Louisiana University,Men
White,4,25,4,23,8,Southeastern Louisiana University,Men
Total,13,28,29,91,8,Southeastern Louisiana University,Men
Am. Ind./AN,0,0,0,0,0,Southern Illinois University Edwardsville,Men
Asian,0,0,0,0,1,Southern Illinois University Edwardsville,Men
Black,7,0,3,0,3,Southern Illinois University Edwardsville,Men
Hispanic,1,2,1,0,6,Southern Illinois University Edwardsville,Men
Nat. Haw./PI,0,0,0,0,0,Southern Illinois University Edwardsville,Men
US N-R,1,2,0,0,7,Southern Illinois University Edwardsville,Men
Two or More,1,1,1,0,0,Southern Illinois University Edwardsville,Men
Unknown,0,1,0,0,3,Southern Illinois University Edwardsville,Men
White,1,18,13,0,23,Southern Illinois University Edwardsville,Men
Total,11,24,18,0,43,Southern Illinois University Edwardsville,Men
Am. Ind./AN,0,0,0,0,0,Southern Illinois University at Carbondale,Men
Asian,0,0,0,1,1,Southern Illinois University at Carbondale,Men
Black,8,0,15,36,0,Southern Illinois University at Carbondale,Men
Hispanic,1,2,1,1,1,Southern Illinois University at Carbondale,Men
Nat. Haw./PI,0,0,0,0,0,Southern Illinois University at Carbondale,Men
US N-R,0,1,1,0,6,Southern Illinois University at Carbondale,Men
Two or More,1,1,1,5,2,Southern Illinois University at Carbondale,Men
Unknown,0,0,0,0,0,Southern Illinois University at Carbondale,Men
White,3,26,12,23,16,Southern Illinois University at Carbondale,Men
Total,13,30,30,66,26,Southern Illinois University at Carbondale,Men
Am. Ind./AN,0,0,0,1,0,Southern Methodist University,Men
Asian,0,0,0,0,0,Southern Methodist University,Men
Black,8,0,0,48,1,Southern Methodist University,Men
Hispanic,0,0,0,0,3,Southern Methodist University,Men
Nat. Haw./PI,0,0,0,0,0,Southern Methodist University,Men
US N-R,2,0,0,1,7,Southern Methodist University,Men
Two or More,2,0,0,7,5,Southern Methodist University,Men
Unknown,1,0,0,3,1,Southern Methodist University,Men
White,0,0,0,16,33,Southern Methodist University,Men
Total,13,0,0,76,50,Southern Methodist University,Men
Am. Ind./AN,0,0,0,0,0,Southern University Baton Rouge,Men
Asian,0,0,0,0,0,Southern University Baton Rouge,Men
Black,12,21,23,37,4,Southern University Baton Rouge,Men
Hispanic,0,0,0,0,0,Southern University Baton Rouge,Men
Nat. Haw./PI,0,0,0,0,0,Southern University Baton Rouge,Men
US N-R,0,0,0,0,0,Southern University Baton Rouge,Men
Two or More,0,0,0,2,1,Southern University Baton Rouge,Men
Unknown,0,0,0,0,0,Southern University Baton Rouge,Men
White,0,0,0,2,0,Southern University Baton Rouge,Men
Total,12,21,23,41,5,Southern University Baton Rouge,Men
Am. Ind./AN,0,0,1,0,0,Southern Utah University,Men
Asian,0,0,1,0,0,Southern Utah University,Men
Black,7,0,4,18,0,Southern Utah University,Men
Hispanic,2,0,2,21,1,Southern Utah University,Men
Nat. Haw./PI,0,0,0,5,0,Southern Utah University,Men
US N-R,3,0,6,0,2,Southern Utah University,Men
Two or More,0,0,1,0,0,Southern Utah University,Men
Unknown,0,0,6,10,2,Southern Utah University,Men
White,6,0,38,72,6,Southern Utah University,Men
Total,18,0,59,126,11,Southern Utah University,Men
Am. Ind./AN,0,0,0,0,2,St. Bonaventure University,Men
Asian,0,0,0,0,0,St. Bonaventure University,Men
Black,10,0,0,0,1,St. Bonaventure University,Men
Hispanic,0,1,1,0,1,St. Bonaventure University,Men
Nat. Haw./PI,0,0,0,0,1,St. Bonaventure University,Men
US N-R,2,0,0,0,41,St. Bonaventure University,Men
Two or More,0,0,0,0,1,St. Bonaventure University,Men
Unknown,0,0,0,0,0,St. Bonaventure University,Men
White,1,24,19,0,55,St. Bonaventure University,Men
Total,13,25,20,0,102,St. Bonaventure University,Men
Am. Ind./AN,0,0,0,0,0,St. John's University (New York),Men
Asian,0,0,0,0,0,St. John's University (New York),Men
Black,6,0,0,0,2,St. John's University (New York),Men
Hispanic,1,5,0,0,6,St. John's University (New York),Men
Nat. Haw./PI,0,0,0,0,0,St. John's University (New York),Men
US N-R,1,1,0,0,35,St. John's University (New York),Men
Two or More,0,2,0,0,1,St. John's University (New York),Men
Unknown,0,0,0,0,0,St. John's University (New York),Men
White,1,21,0,0,42,St. John's University (New York),Men
Total,9,29,0,0,86,St. John's University (New York),Men
Am. Ind./AN,0,0,0,0,0,Stanford University,Men
Asian,1,2,0,0,13,Stanford University,Men
Black,4,2,2,29,4,Stanford University,Men
Hispanic,0,1,2,7,6,Stanford University,Men
Nat. Haw./PI,0,0,0,2,0,Stanford University,Men
US N-R,1,2,2,3,22,Stanford University,Men
Two or More,1,1,0,14,13,Stanford University,Men
Unknown,0,0,0,2,0,Stanford University,Men
White,4,14,11,31,72,Stanford University,Men
Total,11,22,17,88,130,Stanford University,Men
Am. Ind./AN,0,0,0,0,0,Stephen F. Austin State University,Men
Asian,0,0,0,0,0,Stephen F. Austin State University,Men
Black,10,2,14,65,0,Stephen F. Austin State University,Men
Hispanic,0,3,3,2,1,Stephen F. Austin State University,Men
Nat. Haw./PI,0,0,0,0,0,Stephen F. Austin State University,Men
US N-R,0,0,5,0,0,Stephen F. Austin State University,Men
Two or More,1,3,1,10,0,Stephen F. Austin State University,Men
Unknown,0,1,0,0,0,Stephen F. Austin State University,Men
White,1,21,13,27,11,Stephen F. Austin State University,Men
Total,12,30,36,104,12,Stephen F. Austin State University,Men
Am. Ind./AN,0,0,0,0,0,Stetson University,Men
Asian,0,0,0,0,0,Stetson University,Men
Black,3,1,0,0,3,Stetson University,Men
Hispanic,0,7,1,0,9,Stetson University,Men
Nat. Haw./PI,0,0,0,0,0,Stetson University,Men
US N-R,3,1,1,0,20,Stetson University,Men
Two or More,2,0,0,0,1,Stetson University,Men
Unknown,2,0,0,0,0,Stetson University,Men
White,3,15,6,0,16,Stetson University,Men
Total,13,24,8,0,49,Stetson University,Men
Am. Ind./AN,0,0,0,0,0,Stony Brook University,Men
Asian,0,0,0,0,0,Stony Brook University,Men
Black,5,0,0,26,4,Stony Brook University,Men
Hispanic,0,2,3,3,5,Stony Brook University,Men
Nat. Haw./PI,0,0,0,1,0,Stony Brook University,Men
US N-R,1,0,0,2,1,Stony Brook University,Men
Two or More,0,1,0,5,0,Stony Brook University,Men
Unknown,0,0,0,0,0,Stony Brook University,Men
White,2,23,4,19,41,Stony Brook University,Men
Total,8,26,7,56,51,Stony Brook University,Men
Am. Ind./AN,0,0,0,0,0,Syracuse University,Men
Asian,0,0,0,0,0,Syracuse University,Men
Black,9,0,5,32,1,Syracuse University,Men
Hispanic,0,0,3,9,3,Syracuse University,Men
Nat. Haw./PI,0,0,0,2,0,Syracuse University,Men
US N-R,0,0,1,2,9,Syracuse University,Men
Two or More,1,0,1,10,1,Syracuse University,Men
Unknown,1,0,0,5,1,Syracuse University,Men
White,2,0,9,12,35,Syracuse University,Men
Total,13,0,19,72,50,Syracuse University,Men
Am. Ind./AN,0,0,0,0,0,Temple University,Men
Asian,0,0,0,0,2,Temple University,Men
Black,7,0,1,44,6,Temple University,Men
Hispanic,0,0,0,5,4,Temple University,Men
Nat. Haw./PI,0,0,0,0,0,Temple University,Men
US N-R,1,0,1,7,20,Temple University,Men
Two or More,0,0,0,5,4,Temple University,Men
Unknown,1,0,0,1,0,Temple University,Men
White,1,0,5,7,16,Temple University,Men
Total,10,0,7,69,52,Temple University,Men
Am. Ind./AN,0,0,0,0,0,Tennessee State University,Men
Asian,0,0,0,0,0,Tennessee State University,Men
Black,8,0,11,78,1,Tennessee State University,Men
Hispanic,0,0,0,0,0,Tennessee State University,Men
Nat. Haw./PI,0,0,0,0,0,Tennessee State University,Men
US N-R,3,0,0,0,7,Tennessee State University,Men
Two or More,0,0,0,0,0,Tennessee State University,Men
Unknown,0,0,0,0,0,Tennessee State University,Men
White,2,0,0,6,5,Tennessee State University,Men
Total,13,0,11,84,13,Tennessee State University,Men
Am. Ind./AN,0,0,0,0,0,Tennessee Technological University,Men
Asian,0,0,0,0,0,Tennessee Technological University,Men
Black,7,3,0,49,0,Tennessee Technological University,Men
Hispanic,0,0,0,0,0,Tennessee Technological University,Men
Nat. Haw./PI,0,0,0,1,0,Tennessee Technological University,Men
US N-R,0,0,3,0,6,Tennessee Technological University,Men
Two or More,0,0,0,6,0,Tennessee Technological University,Men
Unknown,1,2,1,3,1,Tennessee Technological University,Men
White,5,23,3,40,8,Tennessee Technological University,Men
Total,13,28,7,99,15,Tennessee Technological University,Men
Am. Ind./AN,0,2,0,0,0,Texas A&M University-Corpus Christi,Men
Asian,0,0,0,0,0,Texas A&M University-Corpus Christi,Men
Black,8,1,3,0,0,Texas A&M University-Corpus Christi,Men
Hispanic,0,7,3,0,1,Texas A&M University-Corpus Christi,Men
Nat. Haw./PI,0,0,0,0,0,Texas A&M University-Corpus Christi,Men
US N-R,0,0,7,0,7,Texas A&M University-Corpus Christi,Men
Two or More,5,2,0,0,0,Texas A&M University-Corpus Christi,Men
Unknown,0,1,0,0,0,Texas A&M University-Corpus Christi,Men
White,0,16,1,0,0,Texas A&M University-Corpus Christi,Men
Total,13,29,14,0,8,Texas A&M University-Corpus Christi,Men
Am. Ind./AN,0,0,2,0,0,Texas A&M University College Station,Men
Asian,0,0,2,1,2,Texas A&M University College Station,Men
Black,6,2,13,60,2,Texas A&M University College Station,Men
Hispanic,0,4,4,5,3,Texas A&M University College Station,Men
Nat. Haw./PI,0,0,0,1,0,Texas A&M University College Station,Men
US N-R,1,0,2,3,12,Texas A&M University College Station,Men
Two or More,0,2,0,2,2,Texas A&M University College Station,Men
Unknown,5,0,1,2,2,Texas A&M University College Station,Men
White,1,21,15,14,28,Texas A&M University College Station,Men
Total,13,29,39,88,51,Texas A&M University College Station,Men
Am. Ind./AN,0,0,0,0,0,Texas Christian University,Men
Asian,0,0,0,0,0,Texas Christian University,Men
Black,3,0,11,39,0,Texas Christian University,Men
Hispanic,0,2,1,4,1,Texas Christian University,Men
Nat. Haw./PI,0,0,0,0,0,Texas Christian University,Men
US N-R,0,0,5,0,22,Texas Christian University,Men
Two or More,1,0,0,2,3,Texas Christian University,Men
Unknown,3,0,1,6,1,Texas Christian University,Men
White,0,21,4,12,18,Texas Christian University,Men
Total,7,23,22,63,45,Texas Christian University,Men
Am. Ind./AN,0,0,0,0,0,Texas Southern University,Men
Asian,0,0,0,0,0,Texas Southern University,Men
Black,13,8,20,61,1,Texas Southern University,Men
Hispanic,0,12,3,2,0,Texas Southern University,Men
Nat. Haw./PI,0,0,0,0,0,Texas Southern University,Men
US N-R,0,0,1,0,3,Texas Southern University,Men
Two or More,0,2,0,2,0,Texas Southern University,Men
Unknown,0,0,0,0,0,Texas Southern University,Men
White,0,2,0,2,2,Texas Southern University,Men
Total,13,24,24,67,6,Texas Southern University,Men
Am. Ind./AN,0,0,0,1,0,Texas State University,Men
Asian,0,0,0,0,0,Texas State University,Men
Black,8,2,7,46,0,Texas State University,Men
Hispanic,1,6,8,7,1,Texas State University,Men
Nat. Haw./PI,0,0,0,0,0,Texas State University,Men
US N-R,1,1,3,0,5,Texas State University,Men
Two or More,0,1,1,1,0,Texas State University,Men
Unknown,0,2,1,5,0,Texas State University,Men
White,1,21,7,18,1,Texas State University,Men
Total,11,33,27,78,7,Texas State University,Men
